TeamName,AdjTempo,AdjOE,AdjDE,eFGPct,TOPct,ORPct,FTRate,eFGPctD,TOPctD,ORPctD,FTRateD
Michigan St.,69.1211,115.245,91.215,52.61865794,18.05848062,32.76190476,30.82378614,43.27282435,15.77789931,25.99190283,29.31126535
Middle Tennessee,69.779,97.5034,108.162,47.4695122,20.51963852,27.12022367,30.6097561,54.66155811,19.36572242,28.24175824,39.65517241
Milwaukee,69.5459,96.0247,104.918,46.83794466,18.84248189,29.24444444,30.43478261,50.77833126,20.80823699,29.66700303,43.83561644
Minnesota,66.7923,112.06,94.2344,49.4120791,16.691732,31.30434783,27.52538749,45.62398703,15.83574575,27.86195286,27.98487304
Mississippi,68.013,103.676,96.9578,48.59550562,18.85494548,26.38259293,36.79775281,47.62857143,19.57666588,27.81818182,40.62857143
Mississippi St.,66.2338,113.397,99.8233,51.51780502,20.64856125,36.95219124,39.46293053,48.07909605,17.05542414,28.27272727,31.5819209
Mississippi Valley St.,77.0792,89.7696,117.644,42.96259843,18.21221649,23.50299401,22.93307087,53.96942801,17.62336884,35.91979076,36.09467456
Missouri,66.4596,104.149,96.712,47.01230228,20.8502314,31.37802607,35.73520797,46.28229364,20.8502314,27.70853308,47.76307498
Missouri St.,68.2675,104.836,100.15,49.81799272,19.72449547,31.88277087,28.75715029,49.61580681,18.18351926,22.65834077,33.15038419
Monmouth,72.6457,99.1174,101.835,47.14983713,17.62065408,25.46531303,35.55917481,49.50058754,22.43845317,28.78645343,41.71562867
Montana,68.2418,103.204,100.127,52.30677052,16.86363441,20.14925373,26.1234272,48.72382199,20.50185291,25.36534447,46.26963351
Montana St.,67.3335,96.9776,101.579,48.96390374,20.64962395,22.37991266,38.43582888,48.26034793,15.91953767,24.95238095,30.83383323
Morehead St.,67.346,94.5518,108.067,47.24118316,18.08569173,27.89237668,31.45620023,49.66517857,17.27231406,28.27081427,29.18526786
Morgan St.,69.5579,93.2023,107.46,45.91645885,22.6316084,33.84615385,40.77306733,47.40384615,18.7519041,29.00096993,49.29487179
Mount St. Mary's,63.2201,96.3715,107.468,46.2478185,17.94255409,29.31798051,32.63525305,49.97079439,17.34777329,27.87996128,30.0817757
Murray St.,68.8634,102.433,99.2862,52.74261603,19.87376829,28.92307692,40.08438819,46.38905067,18.54251108,24.79638009,32.20733838
N.C. State,69.5383,110.689,97.2983,50.86823289,16.88489177,28.71972318,28.49846782,47.84598815,20.05907508,30.88737201,35.43349488
Navy,62.4539,98.1086,106.011,45.27150702,16.36012995,25.14231499,31.05552166,50.60050569,18.32748735,27.32123799,33.43868521
Nebraska,73.1273,101.96,101.324,46.1345066,18.84929417,33.78378378,32.05531113,50.65189048,18.08660597,25.85106383,30.05215124
Nebraska Omaha,69.2369,103.188,107.686,46.81750373,16.0090156,22.28915663,29.04027847,51.50517404,18.66314187,32.96178344,21.77798683
Nevada,71.0373,110.322,101.005,49.86904138,16.96084535,27.15173026,27.60607648,52.55397578,16.01857616,26.66666667,29.48920484
New Hampshire,68.59,94.955,102.062,52.92708888,16.72580112,25.23020258,28.25971261,46.94533762,15.15635597,24.44626743,36.54876742
New Mexico,71.8452,105.273,102.396,46.77230047,18.40759123,28.15884477,25.7629108,47.16446125,16.3284969,21.42170989,39.06742281
New Mexico St.,63.5034,107.582,99.4461,52.2335845,19.53454851,27.93851718,37.24434876,52.65957447,19.9648249,30.09458298,24.36676798
New Orleans,69.7844,99.2945,114.801,52.6984127,20.59847646,34.51232583,31.87301587,49.58563536,20.91866003,21.68949772,32.0441989
Niagara,65.986,100.067,111.609,48.38376891,20.26972679,27.57437071,40.30261348,56.13559322,20.6450921,34.19434194,39.72881356
Nicholls St.,68.6684,99.712,101.53,49.71988796,15.75261864,17.7238806,24.3697479,52.78227985,20.69278898,35.77386469,27.60669908
NJIT,66.9441,94.724,105.792,49.51923077,19.29937123,29.42973523,25.78125,49.79825151,24.84280765,34.06593407,39.74445192
Norfolk St.,67.4624,94.1516,101.916,46.96774194,20.90258756,30.66801619,33.29032258,47.19562244,21.59402175,28.75131165,40.49247606
North Alabama,70.0569,96.0212,105.596,47.94252123,21.38724276,27.97558494,39.71260614,49.96755354,19.3503625,26.33196721,40.81765088
North Carolina,70.3903,107.708,98.3509,46.42857143,18.07305587,35.27131783,33.47910593,49.09954977,16.03665521,24.20278005,29.16458229
